Timestamp,Scene Index,Elapsed Time (min),Back wall_mean_C,Back wall_median_C,Ceiling_mean_C,Ceiling_median_C,Floor_mean_C,Floor_median_C,Front wall_mean_C,Front wall_median_C,Left wall_mean_C,Left wall_median_C,Right wall_mean_C,Right wall_median_C,Zone1_mean_C,Zone1_median_C,Zone2_mean_C,Zone2_median_C,Zone3_mean_C,Zone3_median_C,Zone4_mean_C,Zone4_median_C
2023-09-05 10:38:27,1,0.0,19.60279,19.5,19.31284,19.2,20.063627,19.9,20.329826,20.4,20.24528,20.2,19.494421,19.4,19.085308,19.1,18.870493,18.7,19.323786,19.25,18.310228,18.2
2023-09-05 10:39:51,2,1.4,19.61674,19.6,19.414291,19.3,20.072474,19.9,20.437769,20.4,20.262875,20.3,19.428541,19.3,19.17898,19.2,18.919672,18.7,19.428156,19.3,18.629545,18.6
2023-09-05 10:41:14,3,2.783333333333333,19.839056,19.7,19.493217,19.349998,20.202976,20.1,20.377037,20.3,20.293133,20.3,19.524462,19.4,19.35796,19.3,19.075819,19.0,19.42961,19.25,18.675001,18.75
2023-09-05 10:42:38,4,4.183333333333334,19.711588,19.650002,19.548546,19.4,20.183846,20.0,20.42983,20.4,20.337555,20.3,19.49163,19.4,19.310001,19.2,19.122334,19.1,19.511164,19.4,18.822727,18.849998
2023-09-05 10:44:04,5,5.616666666666666,19.680042,19.6,19.638903,19.5,20.197203,20.05,20.477041,20.4,20.398926,20.3,19.429829,19.2,19.42347,19.3,19.036268,19.0,19.841747,19.8,18.773865,18.849998
2023-09-05 10:45:29,6,7.033333333333333,19.661371,19.6,19.640018,19.5,20.234972,20.1,20.435623,20.4,20.386696,20.3,19.56824,19.4,19.51061,19.3,19.261475,19.2,19.70194,19.650002,18.706818,18.9
2023-09-05 10:46:53,7,8.433333333333334,19.789486,19.8,19.671463,19.5,20.250269,20.1,20.509872,20.4,20.32704,20.3,19.490984,19.4,19.354284,19.2,19.289959,19.2,19.864077,19.8,18.877274,18.849998
2023-09-05 10:50:35,8,12.133333333333333,19.782188,19.8,19.646996,19.6,20.231182,20.1,20.596136,20.6,20.412663,20.3,19.64678,19.5,19.44796,19.5,19.209837,19.2,19.499031,19.4,19.036364,19.05
2023-09-05 10:52:01,9,13.566666666666666,19.713306,19.6,19.424564,19.3,20.200586,20.0,20.582619,20.5,20.197853,20.1,19.641417,19.5,19.26959,19.2,18.734016,18.6,19.07233,18.8,18.711365,18.75
2023-09-05 10:53:27,10,15.0,19.80644,19.7,19.29443,19.2,20.183935,20.1,20.36588,20.4,20.25987,20.3,19.599356,19.5,19.151836,19.1,18.634634,18.5,18.994177,18.9,18.90341,18.849998
2023-09-05 10:54:50,11,16.383333333333333,19.75279,19.7,19.220543,19.2,20.138311,20.0,20.571888,20.6,20.282618,20.2,19.524035,19.4,19.062244,19.0,18.527254,18.4,18.846601,18.5,18.76591,18.9
2023-09-05 10:56:14,12,17.783333333333335,19.839699,19.8,19.13033,19.1,20.098917,19.95,20.492062,20.5,20.422533,20.4,19.560085,19.5,18.81061,19.0,18.556149,18.4,18.508738,18.3,18.646591,18.7
2023-09-05 10:57:38,13,19.183333333333334,19.720387,19.7,19.059303,19.1,20.008303,19.8,20.40086,20.4,20.247854,20.2,19.570602,19.5,18.773672,18.9,18.443647,18.3,18.375729,18.1,18.53409,18.75
2023-09-05 10:59:02,14,20.583333333333332,19.719957,19.6,18.965601,19.0,20.041111,19.9,20.385406,20.3,20.157724,20.1,19.530472,19.4,18.757755,18.8,18.1709,18.0,18.538836,18.349998,18.557955,18.55
2023-09-05 11:00:32,15,22.083333333333332,19.65472,19.7,19.03561,19.1,20.056229,19.9,20.524893,20.5,20.129614,20.1,19.421888,19.3,18.81061,18.8,18.267826,18.1,18.497572,18.3,18.90909,19.0
