Timestamp,Scene Index,Elapsed Time (min),Back wall_mean_C,Back wall_median_C,Ceiling_mean_C,Ceiling_median_C,Floor_mean_C,Floor_median_C,Front wall_mean_C,Front wall_median_C,Left wall_mean_C,Left wall_median_C,Right wall_mean_C,Right wall_median_C,Zone1_mean_C,Zone1_median_C,Zone2_mean_C,Zone2_median_C,Zone3_mean_C,Zone3_median_C,Zone4_mean_C,Zone4_median_C
2023-09-05 10:38:27,1,0.0,19.584375,19.5,19.337784,19.2,20.06177,19.9,20.31021,20.4,20.237083,20.2,19.487293,19.4,19.085276,19.1,18.968262,18.8,19.493395,19.5,18.428947,18.4
2023-09-05 10:39:51,2,1.4,19.603544,19.6,19.438446,19.3,20.076899,19.9,20.421875,20.349998,20.227293,20.25,19.407707,19.3,19.184132,19.2,19.02046,18.8,19.610378,19.5,18.875002,19.1
2023-09-05 10:41:14,3,2.783333333333333,19.825207,19.7,19.514963,19.4,20.21824,20.1,20.325207,20.3,20.279581,20.3,19.50896,19.4,19.329252,19.2,19.165968,19.1,19.646696,19.6,18.886845,19.1
2023-09-05 10:42:38,4,4.183333333333334,19.69521,19.6,19.57486,19.5,20.18356,20.0,20.411251,20.4,20.306042,20.3,19.485832,19.4,19.293118,19.2,19.227343,19.1,19.745754,19.849998,18.990791,19.0
2023-09-05 10:44:04,5,5.616666666666666,19.679375,19.6,19.656628,19.5,20.19465,20.1,20.45,20.4,20.373333,20.3,19.43875,19.3,19.421415,19.3,19.164246,19.1,19.951416,20.0,18.901314,18.9
2023-09-05 10:45:29,6,7.033333333333333,19.6375,19.6,19.659138,19.5,20.241245,20.1,20.414373,20.4,20.359167,20.3,19.560625,19.5,19.495604,19.3,19.315105,19.2,19.89151,20.0,18.909212,19.0
2023-09-05 10:46:53,7,8.433333333333334,19.775415,19.7,19.687643,19.5,20.266731,20.1,20.4875,20.4,20.291456,20.2,19.476665,19.4,19.368452,19.2,19.349712,19.2,20.000944,20.0,19.05921,19.0
2023-09-05 10:50:35,8,12.133333333333333,19.775625,19.75,19.669508,19.6,20.248346,20.1,20.551876,20.5,20.392294,20.3,19.632292,19.5,19.45258,19.5,19.304016,19.2,19.650944,19.6,19.307894,19.55
2023-09-05 10:52:01,9,13.566666666666666,19.685001,19.6,19.450235,19.3,20.217705,20.1,20.539583,20.5,20.175835,20.1,19.628542,19.4,19.293306,19.2,18.821604,18.6,19.266039,19.1,19.014473,19.150002
2023-09-05 10:53:27,10,15.0,19.79375,19.7,19.320549,19.2,20.19966,20.1,20.333958,20.3,20.227083,20.2,19.603125,19.5,19.189102,19.1,18.737476,18.6,19.214151,19.1,19.190788,19.2
2023-09-05 10:54:50,11,16.383333333333333,19.728542,19.6,19.245077,19.2,20.14431,20.0,20.551043,20.6,20.269793,20.2,19.513542,19.4,19.075907,19.0,18.626005,18.5,19.03019,18.8,19.14737,19.150002
2023-09-05 10:56:14,12,17.783333333333335,19.838125,19.75,19.162169,19.1,20.100826,20.0,20.453335,20.4,20.378752,20.3,19.551249,19.5,18.842257,19.0,18.658127,18.5,18.801414,18.6,19.011843,19.150002
2023-09-05 10:57:38,13,19.183333333333334,19.69,19.6,19.08589,19.1,19.992754,19.8,20.398958,20.4,20.232916,20.2,19.576666,19.5,18.83174,19.0,18.578585,18.4,18.69481,18.7,18.985525,19.3
2023-09-05 10:59:02,14,20.583333333333332,19.711458,19.6,18.998438,19.0,20.050924,19.9,20.342081,20.2,20.117086,20.1,19.522501,19.4,18.762716,18.8,18.299616,18.2,18.817924,18.7,18.994736,19.150002
2023-09-05 11:00:32,15,22.083333333333332,19.668333,19.7,19.06444,19.2,20.060165,19.9,20.49,20.4,20.098125,20.1,19.409374,19.3,18.841873,18.9,18.376291,18.2,18.797642,18.7,19.351315,19.45
